FileVersion	TransferId	ReportDate	StudyId	AssayVersion
D0004490-rev4	abfdbb69-ad4c-4feb-8218-7764b6995b66	2022-09-08	SS-2216784	v4.1

SampleId	SampleName	ExtIdentifier	RowCheck	TestName	ProductIDandVersion	PredictedValue	Units	PredictedClass	UseClass
313	a0y4W00000kgfjRQAQ	EXID40000007910475	PASS	Time-to-Spin Plasma	R1143 V01	5.6	Hours		Research Use Only
313	a0y4W00000kgfjRQAQ	EXID40000007910475	PASS	Time-to-Decant Plasma	R1144 V01	2.3	Hours		Research Use Only
313	a0y4W00000kgfjRQAQ	EXID40000007910475	PASS	Time-to-Freeze Plasma	R1145 V01	2.9	Hours		Research Use Only
313	a0y4W00000kgfjRQAQ	EXID40000007910475	PASS	Fed-Fasted Plasma	R1152 V01	9.7	Hours		Research Use Only
313	a0y4W00000kgfjRQAQ	EXID40000007910475	PASS	Freeze-Thaw Plasma	R1154 V01	3.4	Cycles		Research Use Only
59	a0y4W00000kgfisQAA	EXID40000007910341	PASS	Time-to-Spin Plasma	R1143 V01	6.2	Hours		Research Use Only
59	a0y4W00000kgfisQAA	EXID40000007910341	PASS	Time-to-Decant Plasma	R1144 V01	7.0	Hours		Research Use Only
59	a0y4W00000kgfisQAA	EXID40000007910341	PASS	Time-to-Freeze Plasma	R1145 V01	5.8	Hours		Research Use Only
59	a0y4W00000kgfisQAA	EXID40000007910341	PASS	Fed-Fasted Plasma	R1152 V01	3.5	Hours		Research Use Only
59	a0y4W00000kgfisQAA	EXID40000007910341	PASS	Freeze-Thaw Plasma	R1154 V01	6.4	Cycles		Research Use Only
203	a0y4W00000kgfjCQAQ	EXID40000007910314	PASS	Time-to-Spin Plasma	R1143 V01	6.1	Hours		Research Use Only
203	a0y4W00000kgfjCQAQ	EXID40000007910314	PASS	Time-to-Decant Plasma	R1144 V01	0.0	Hours		Research Use Only
203	a0y4W00000kgfjCQAQ	EXID40000007910314	PASS	Time-to-Freeze Plasma	R1145 V01	2.7	Hours		Research Use Only
203	a0y4W00000kgfjCQAQ	EXID40000007910314	PASS	Fed-Fasted Plasma	R1152 V01	0.0	Hours		Research Use Only
203	a0y4W00000kgfjCQAQ	EXID40000007910314	PASS	Freeze-Thaw Plasma	R1154 V01	2.9	Cycles		Research Use Only
64	a0y4W00000kgfixQAA	EXID40000007910315	PASS	Time-to-Spin Plasma	R1143 V01	3.4	Hours		Research Use Only
64	a0y4W00000kgfixQAA	EXID40000007910315	PASS	Time-to-Decant Plasma	R1144 V01	3.0	Hours		Research Use Only
64	a0y4W00000kgfixQAA	EXID40000007910315	PASS	Time-to-Freeze Plasma	R1145 V01	0.7	Hours		Research Use Only
64	a0y4W00000kgfixQAA	EXID40000007910315	PASS	Fed-Fasted Plasma	R1152 V01	2.9	Hours		Research Use Only
64	a0y4W00000kgfixQAA	EXID40000007910315	PASS	Freeze-Thaw Plasma	R1154 V01	4.8	Cycles		Research Use Only
309	a0y4W00000kgfjOQAQ	EXID40000007910465	PASS	Time-to-Spin Plasma	R1143 V01	2.8	Hours		Research Use Only
309	a0y4W00000kgfjOQAQ	EXID40000007910465	PASS	Time-to-Decant Plasma	R1144 V01	0.2	Hours		Research Use Only
309	a0y4W00000kgfjOQAQ	EXID40000007910465	PASS	Time-to-Freeze Plasma	R1145 V01	5.2	Hours		Research Use Only
309	a0y4W00000kgfjOQAQ	EXID40000007910465	PASS	Fed-Fasted Plasma	R1152 V01	5.8	Hours		Research Use Only
309	a0y4W00000kgfjOQAQ	EXID40000007910465	PASS	Freeze-Thaw Plasma	R1154 V01	6.6	Cycles		Research Use Only
312	a0y4W00000kgfjQQAQ	EXID40000007910334	PASS	Time-to-Spin Plasma	R1143 V01	18.0	Hours		Research Use Only
312	a0y4W00000kgfjQQAQ	EXID40000007910334	PASS	Time-to-Decant Plasma	R1144 V01	8.7	Hours		Research Use Only
312	a0y4W00000kgfjQQAQ	EXID40000007910334	PASS	Time-to-Freeze Plasma	R1145 V01	5.4	Hours		Research Use Only
312	a0y4W00000kgfjQQAQ	EXID40000007910334	PASS	Fed-Fasted Plasma	R1152 V01	2.0	Hours		Research Use Only
312	a0y4W00000kgfjQQAQ	EXID40000007910334	PASS	Freeze-Thaw Plasma	R1154 V01	3.4	Cycles		Research Use Only
305	a0y4W00000kgfjMQAQ	EXID40000007910473	PASS	Time-to-Spin Plasma	R1143 V01	2.1	Hours		Research Use Only
305	a0y4W00000kgfjMQAQ	EXID40000007910473	PASS	Time-to-Decant Plasma	R1144 V01	1.4	Hours		Research Use Only
305	a0y4W00000kgfjMQAQ	EXID40000007910473	PASS	Time-to-Freeze Plasma	R1145 V01	1.0	Hours		Research Use Only
305	a0y4W00000kgfjMQAQ	EXID40000007910473	PASS	Fed-Fasted Plasma	R1152 V01	8.0	Hours		Research Use Only
305	a0y4W00000kgfjMQAQ	EXID40000007910473	PASS	Freeze-Thaw Plasma	R1154 V01	3.6	Cycles		Research Use Only
331	a0y4W00000kgfjZQAQ	EXID40000007910040	PASS	Time-to-Spin Plasma	R1143 V01	1.1	Hours		Research Use Only
331	a0y4W00000kgfjZQAQ	EXID40000007910040	PASS	Time-to-Decant Plasma	R1144 V01	0.0	Hours		Research Use Only
331	a0y4W00000kgfjZQAQ	EXID40000007910040	PASS	Time-to-Freeze Plasma	R1145 V01	0.0	Hours		Research Use Only
331	a0y4W00000kgfjZQAQ	EXID40000007910040	PASS	Fed-Fasted Plasma	R1152 V01	7.4	Hours		Research Use Only
331	a0y4W00000kgfjZQAQ	EXID40000007910040	PASS	Freeze-Thaw Plasma	R1154 V01	2.0	Cycles		Research Use Only
48	a0y4W00000kgfinQAA	EXID40000007910317	PASS	Time-to-Spin Plasma	R1143 V01	1.4	Hours		Research Use Only
48	a0y4W00000kgfinQAA	EXID40000007910317	PASS	Time-to-Decant Plasma	R1144 V01	2.8	Hours		Research Use Only
48	a0y4W00000kgfinQAA	EXID40000007910317	PASS	Time-to-Freeze Plasma	R1145 V01	3.2	Hours		Research Use Only
48	a0y4W00000kgfinQAA	EXID40000007910317	PASS	Fed-Fasted Plasma	R1152 V01	7.7	Hours		Research Use Only
48	a0y4W00000kgfinQAA	EXID40000007910317	PASS	Freeze-Thaw Plasma	R1154 V01	6.0	Cycles		Research Use Only
60	a0y4W00000kgfitQAA	EXID40000007910303	PASS	Time-to-Spin Plasma	R1143 V01	9.6	Hours		Research Use Only
60	a0y4W00000kgfitQAA	EXID40000007910303	PASS	Time-to-Decant Plasma	R1144 V01	7.2	Hours		Research Use Only
60	a0y4W00000kgfitQAA	EXID40000007910303	PASS	Time-to-Freeze Plasma	R1145 V01	5.3	Hours		Research Use Only
60	a0y4W00000kgfitQAA	EXID40000007910303	PASS	Fed-Fasted Plasma	R1152 V01	5.6	Hours		Research Use Only
60	a0y4W00000kgfitQAA	EXID40000007910303	PASS	Freeze-Thaw Plasma	R1154 V01	6.6	Cycles		Research Use Only
314	a0y4W00000kgfjSQAQ	EXID40000007910322	PASS	Time-to-Spin Plasma	R1143 V01	2.2	Hours		Research Use Only
314	a0y4W00000kgfjSQAQ	EXID40000007910322	PASS	Time-to-Decant Plasma	R1144 V01	0.0	Hours		Research Use Only
314	a0y4W00000kgfjSQAQ	EXID40000007910322	PASS	Time-to-Freeze Plasma	R1145 V01	0.0	Hours		Research Use Only
314	a0y4W00000kgfjSQAQ	EXID40000007910322	PASS	Fed-Fasted Plasma	R1152 V01	10.3	Hours		Research Use Only
314	a0y4W00000kgfjSQAQ	EXID40000007910322	PASS	Freeze-Thaw Plasma	R1154 V01	2.6	Cycles		Research Use Only
21	a0y4W00000kgficQAA	EXID40000007910038	FLAG	Time-to-Spin Plasma	R1143 V01	20.3	Hours		Research Use Only
21	a0y4W00000kgficQAA	EXID40000007910038	FLAG	Time-to-Decant Plasma	R1144 V01	12.1	Hours		Research Use Only
21	a0y4W00000kgficQAA	EXID40000007910038	FLAG	Time-to-Freeze Plasma	R1145 V01	3.5	Hours		Research Use Only
21	a0y4W00000kgficQAA	EXID40000007910038	FLAG	Freeze-Thaw Plasma	R1154 V01	3.5	Cycles		Research Use Only
11	a0y4W00000kgfiYQAQ	EXID40000007910476	PASS	Time-to-Spin Plasma	R1143 V01	9.3	Hours		Research Use Only
11	a0y4W00000kgfiYQAQ	EXID40000007910476	PASS	Time-to-Decant Plasma	R1144 V01	12.5	Hours		Research Use Only
11	a0y4W00000kgfiYQAQ	EXID40000007910476	PASS	Time-to-Freeze Plasma	R1145 V01	5.5	Hours		Research Use Only
11	a0y4W00000kgfiYQAQ	EXID40000007910476	PASS	Fed-Fasted Plasma	R1152 V01	5.7	Hours		Research Use Only
11	a0y4W00000kgfiYQAQ	EXID40000007910476	PASS	Freeze-Thaw Plasma	R1154 V01	6.4	Cycles		Research Use Only
61_2	a0y4W00000kgfiuQAA	EXID40000007910471	PASS	Time-to-Spin Plasma	R1143 V01	2.6	Hours		Research Use Only
61_2	a0y4W00000kgfiuQAA	EXID40000007910471	PASS	Time-to-Decant Plasma	R1144 V01	2.8	Hours		Research Use Only
61_2	a0y4W00000kgfiuQAA	EXID40000007910471	PASS	Time-to-Freeze Plasma	R1145 V01	3.2	Hours		Research Use Only
61_2	a0y4W00000kgfiuQAA	EXID40000007910471	PASS	Fed-Fasted Plasma	R1152 V01	1.8	Hours		Research Use Only
61_2	a0y4W00000kgfiuQAA	EXID40000007910471	PASS	Freeze-Thaw Plasma	R1154 V01	3.4	Cycles		Research Use Only
53	a0y4W00000kgfiqQAA	EXID40000007910327	PASS	Time-to-Spin Plasma	R1143 V01	6.8	Hours		Research Use Only
53	a0y4W00000kgfiqQAA	EXID40000007910327	PASS	Time-to-Decant Plasma	R1144 V01	3.3	Hours		Research Use Only
53	a0y4W00000kgfiqQAA	EXID40000007910327	PASS	Time-to-Freeze Plasma	R1145 V01	2.7	Hours		Research Use Only
53	a0y4W00000kgfiqQAA	EXID40000007910327	PASS	Fed-Fasted Plasma	R1152 V01	1.7	Hours		Research Use Only
53	a0y4W00000kgfiqQAA	EXID40000007910327	PASS	Freeze-Thaw Plasma	R1154 V01	4.4	Cycles		Research Use Only
220	a0y4W00000kgfjFQAQ	EXID40000007910350	PASS	Time-to-Spin Plasma	R1143 V01	7.9	Hours		Research Use Only
220	a0y4W00000kgfjFQAQ	EXID40000007910350	PASS	Time-to-Decant Plasma	R1144 V01	1.5	Hours		Research Use Only
220	a0y4W00000kgfjFQAQ	EXID40000007910350	PASS	Time-to-Freeze Plasma	R1145 V01	1.7	Hours		Research Use Only
220	a0y4W00000kgfjFQAQ	EXID40000007910350	PASS	Fed-Fasted Plasma	R1152 V01	1.7	Hours		Research Use Only
220	a0y4W00000kgfjFQAQ	EXID40000007910350	PASS	Freeze-Thaw Plasma	R1154 V01	4.0	Cycles		Research Use Only
73	a0y4W00000kgfj5QAA	EXID40000007910451	PASS	Time-to-Spin Plasma	R1143 V01	6.9	Hours		Research Use Only
73	a0y4W00000kgfj5QAA	EXID40000007910451	PASS	Time-to-Decant Plasma	R1144 V01	3.2	Hours		Research Use Only
73	a0y4W00000kgfj5QAA	EXID40000007910451	PASS	Time-to-Freeze Plasma	R1145 V01	3.8	Hours		Research Use Only
73	a0y4W00000kgfj5QAA	EXID40000007910451	PASS	Fed-Fasted Plasma	R1152 V01	10.6	Hours		Research Use Only
73	a0y4W00000kgfj5QAA	EXID40000007910451	PASS	Freeze-Thaw Plasma	R1154 V01	6.3	Cycles		Research Use Only
38	a0y4W00000kgfiiQAA	EXID40000007910309	PASS	Time-to-Spin Plasma	R1143 V01	9.3	Hours		Research Use Only
38	a0y4W00000kgfiiQAA	EXID40000007910309	PASS	Time-to-Decant Plasma	R1144 V01	8.7	Hours		Research Use Only
38	a0y4W00000kgfiiQAA	EXID40000007910309	PASS	Time-to-Freeze Plasma	R1145 V01	6.8	Hours		Research Use Only
38	a0y4W00000kgfiiQAA	EXID40000007910309	PASS	Fed-Fasted Plasma	R1152 V01	0.9	Hours		Research Use Only
38	a0y4W00000kgfiiQAA	EXID40000007910309	PASS	Freeze-Thaw Plasma	R1154 V01	4.6	Cycles		Research Use Only
324	a0y4W00000kgfjWQAQ	EXID40000007910036	PASS	Time-to-Spin Plasma	R1143 V01	5.8	Hours		Research Use Only
324	a0y4W00000kgfjWQAQ	EXID40000007910036	PASS	Time-to-Decant Plasma	R1144 V01	2.3	Hours		Research Use Only
324	a0y4W00000kgfjWQAQ	EXID40000007910036	PASS	Time-to-Freeze Plasma	R1145 V01	1.4	Hours		Research Use Only
324	a0y4W00000kgfjWQAQ	EXID40000007910036	PASS	Fed-Fasted Plasma	R1152 V01	1.3	Hours		Research Use Only
324	a0y4W00000kgfjWQAQ	EXID40000007910036	PASS	Freeze-Thaw Plasma	R1154 V01	3.5	Cycles		Research Use Only
1	a0y4W00000kgfiSQAQ	EXID40000007910343	PASS	Time-to-Spin Plasma	R1143 V01	0.7	Hours		Research Use Only
1	a0y4W00000kgfiSQAQ	EXID40000007910343	PASS	Time-to-Decant Plasma	R1144 V01	0.0	Hours		Research Use Only
1	a0y4W00000kgfiSQAQ	EXID40000007910343	PASS	Time-to-Freeze Plasma	R1145 V01	3.0	Hours		Research Use Only
1	a0y4W00000kgfiSQAQ	EXID40000007910343	PASS	Fed-Fasted Plasma	R1152 V01	2.6	Hours		Research Use Only
1	a0y4W00000kgfiSQAQ	EXID40000007910343	PASS	Freeze-Thaw Plasma	R1154 V01	5.4	Cycles		Research Use Only
6	a0y4W00000kgfiXQAQ	EXID40000007910468	PASS	Time-to-Spin Plasma	R1143 V01	8.9	Hours		Research Use Only
6	a0y4W00000kgfiXQAQ	EXID40000007910468	PASS	Time-to-Decant Plasma	R1144 V01	4.6	Hours		Research Use Only
6	a0y4W00000kgfiXQAQ	EXID40000007910468	PASS	Time-to-Freeze Plasma	R1145 V01	2.1	Hours		Research Use Only
6	a0y4W00000kgfiXQAQ	EXID40000007910468	PASS	Fed-Fasted Plasma	R1152 V01	5.8	Hours		Research Use Only
6	a0y4W00000kgfiXQAQ	EXID40000007910468	PASS	Freeze-Thaw Plasma	R1154 V01	6.5	Cycles		Research Use Only
311	a0y4W00000kgfjPQAQ	EXID40000007910479	PASS	Time-to-Spin Plasma	R1143 V01	6.5	Hours		Research Use Only
311	a0y4W00000kgfjPQAQ	EXID40000007910479	PASS	Time-to-Decant Plasma	R1144 V01	0.0	Hours		Research Use Only
311	a0y4W00000kgfjPQAQ	EXID40000007910479	PASS	Time-to-Freeze Plasma	R1145 V01	2.2	Hours		Research Use Only
311	a0y4W00000kgfjPQAQ	EXID40000007910479	PASS	Fed-Fasted Plasma	R1152 V01	6.7	Hours		Research Use Only
311	a0y4W00000kgfjPQAQ	EXID40000007910479	PASS	Freeze-Thaw Plasma	R1154 V01	3.3	Cycles		Research Use Only
54	a0y4W00000kgfirQAA	EXID40000007910325	PASS	Time-to-Spin Plasma	R1143 V01	11.3	Hours		Research Use Only
54	a0y4W00000kgfirQAA	EXID40000007910325	PASS	Time-to-Decant Plasma	R1144 V01	13.2	Hours		Research Use Only
54	a0y4W00000kgfirQAA	EXID40000007910325	PASS	Time-to-Freeze Plasma	R1145 V01	5.8	Hours		Research Use Only
54	a0y4W00000kgfirQAA	EXID40000007910325	PASS	Fed-Fasted Plasma	R1152 V01	1.5	Hours		Research Use Only
54	a0y4W00000kgfirQAA	EXID40000007910325	PASS	Freeze-Thaw Plasma	R1154 V01	5.8	Cycles		Research Use Only
76	a0y4W00000kgfj7QAA	EXID40000007910463	PASS	Time-to-Spin Plasma	R1143 V01	10.1	Hours		Research Use Only
